# time_mcc alt lat lon
1.684005518834483624e+09 3.276049999491323251e+04 -4.181083301822906861e+01 -6.440166475353801445e+01
1.684005719163032293e+09 3.285099999835970812e+04 -4.179683306063451909e+01 -6.424900062481151508e+01
1.684005919325501919e+09 3.285099999835970812e+04 -4.179683306063451909e+01 -6.424900062481151508e+01
1.684006119827831507e+09 3.290470312370562169e+04 -4.179583360250011026e+01 -6.409100342637184156e+01
1.684006320356096268e+09 3.278220311640347063e+04 -4.181000140770571250e+01 -6.393533329571023671e+01
1.684006520764086485e+09 3.285099999835970812e+04 -4.181883241325124345e+01 -6.377483368007811748e+01
1.684006721043164730e+09 3.285099999835970812e+04 -4.181883241325124345e+01 -6.377483368007811748e+01
1.684006921224843025e+09 3.284799999740161002e+04 -4.181833268418403549e+01 -6.361683656545747567e+01
1.684007121258184433e+09 3.268609374521442078e+04 -4.181316758781046872e+01 -6.345399479462159320e+01
1.684007321370118618e+09 3.268609374521442078e+04 -4.181316758781046872e+01 -6.345399479462159320e+01
1.684007521388009071e+09 3.273729687294393807e+04 -4.181449892740103280e+01 -6.329083258362739173e+01
1.684007721446924925e+09 3.273729687294393807e+04 -4.181449892740103280e+01 -6.329083258362739173e+01
1.684007921547692299e+09 3.270290624063995347e+04 -4.181733322604962666e+01 -6.313217170609445361e+01
1.684008121702853680e+09 3.270290624063995347e+04 -4.181733322604962666e+01 -6.313217170609445361e+01
1.684008321766214848e+09 3.267270311961711559e+04 -4.182249832242320053e+01 -6.296800232561491839e+01
1.684008521901887417e+09 3.268709374235176801e+04 -4.182933426737537275e+01 -6.280349733373232368e+01
1.684008721955113173e+09 3.279009374342628143e+04 -4.184083176586796071e+01 -6.262916565002620928e+01
1.684008921944314241e+09 3.279009374342628143e+04 -4.184083176586796071e+01 -6.262916565002620928e+01
1.684009121816402912e+09 3.278759374580988515e+04 -4.185183334905929797e+01 -6.245866399315620754e+01
1.684009321734509945e+09 3.272879687341134559e+04 -4.186600115426490021e+01 -6.230116275192730768e+01
1.684009521678016424e+09 3.272879687341134559e+04 -4.186600115426490021e+01 -6.230116275192730768e+01
1.684009721959092617e+09 3.272879687341134559e+04 -4.186600115426490021e+01 -6.230116275192730768e+01
1.684009922165021181e+09 3.267490624442577973e+04 -4.190999985949834894e+01 -6.198166664735919085e+01
1.684010122184947252e+09 3.267490624442577973e+04 -4.190999985949834894e+01 -6.198166664735919085e+01
1.684010322153773308e+09 3.267490624442577973e+04 -4.190999985949834894e+01 -6.198166664735919085e+01
1.684010522347882986e+09 3.267490624442577973e+04 -4.190999985949834894e+01 -6.198166664735919085e+01
1.684010722551247835e+09 3.268799999721534550e+04 -4.195349887757410556e+01 -6.165633397215425759e+01
1.684010922618912458e+09 3.277449999302031938e+04 -4.196950152329390704e+01 -6.149766546708943338e+01
1.684011122881938457e+09 3.277449999302031938e+04 -4.196950152329390704e+01 -6.149766546708943338e+01
1.684011323160268545e+09 3.283849999118561391e+04 -4.198516847379160311e+01 -6.133349617042892987e+01
1.684011523323109150e+09 3.287049999504128937e+04 -4.201050189603364515e+01 -6.116600043167500189e+01
1.684011723490373611e+09 3.287629686642351589e+04 -4.203266528249547207e+01 -6.099166874796890170e+01
1.684011923584226608e+09 3.287629686642351589e+04 -4.203266528249547207e+01 -6.099166874796890170e+01
1.684012123540824652e+09 3.290259374117073457e+04 -4.206433487871296961e+01 -6.082016754914545231e+01
1.684012323792501211e+09 3.290259374117073457e+04 -4.206433487871296961e+01 -6.082016754914545231e+01
1.684012524042656183e+09 3.290259374117073457e+04 -4.206433487871296961e+01 -6.082016754914545231e+01
1.684012724640500307e+09 3.286959374972376827e+04 -4.209149936961277660e+01 -6.065150454655557155e+01
1.684012925093501091e+09 3.287629686642351589e+04 -4.211366656984055368e+01 -6.047599797148164669e+01
1.684013125955300808e+09 3.283429687210225529e+04 -4.216916658733253342e+01 -6.011199957693740714e+01
1.684013326550175190e+09 3.283429687210225529e+04 -4.216916658733253342e+01 -6.011199957693740714e+01
1.684013527171985626e+09 3.283429687210225529e+04 -4.216916658733253342e+01 -6.011199957693740714e+01
1.684013727670504570e+09 3.281479686587461765e+04 -4.220833207764857065e+01 -5.992783357387591536e+01
1.684013928371387720e+09 3.278429687204404763e+04 -4.223583222186096009e+01 -5.974233250127693395e+01
1.684014129115546465e+09 3.278429687204404763e+04 -4.223583222186096009e+01 -5.974233250127693395e+01
1.684014329966046095e+09 3.269499999626888894e+04 -4.225383378384957211e+01 -5.955899815064832126e+01
1.684014530830707550e+09 3.269649999674793798e+04 -4.226300052652671013e+01 -5.937916567534654178e+01
1.684014731554915905e+09 3.269649999674793798e+04 -4.226300052652671013e+01 -5.937916567534654178e+01
1.684014932207238436e+09 3.269320312298210047e+04 -4.227066804009272261e+01 -5.918550113197078133e+01
1.684015133023673296e+09 3.265809374900024704e+04 -4.228150177567300716e+01 -5.899833683832510189e+01
1.684015333802300215e+09 3.264229686806031532e+04 -4.228900148353748989e+01 -5.880933380658024134e+01
1.684015534549415588e+09 3.264229686806031532e+04 -4.228900148353748989e+01 -5.880933380658024134e+01
1.684015735359891176e+09 3.268770312440760608e+04 -4.229100039980630754e+01 -5.861816413668407222e+01
1.684015936129403830e+09 3.270529686908826261e+04 -4.228733444872482750e+01 -5.843783570417153328e+01
1.684016136877527475e+09 3.270529686908826261e+04 -4.228733444872482750e+01 -5.843783570417153328e+01
1.684016337551992178e+09 3.270529686908826261e+04 -4.228733444872482750e+01 -5.843783570417153328e+01
1.684016538216764688e+09 3.265599999335967004e+04 -4.228483203153238179e+01 -5.825500493828556614e+01
1.684016738845839977e+09 3.267640624490482878e+04 -4.228766633018098275e+01 -5.806549840561707754e+01
1.684016939526150227e+09 3.267640624490482878e+04 -4.228766633018098275e+01 -5.806549840561707754e+01
1.684017140185334682e+09 3.267640624490482878e+04 -4.228766633018098275e+01 -5.806549840561707754e+01
1.684017340834947348e+09 3.260420312001467391e+04 -4.230583192601470444e+01 -5.769716648331311148e+01
1.684017541611080885e+09 3.262549999952910002e+04 -4.231166841283246782e+01 -5.751649481186561275e+01
1.684017742382417917e+09 3.262549999952910002e+04 -4.231166841283246782e+01 -5.751649481186561275e+01
1.684017943081948042e+09 3.254809374887219019e+04 -4.231800081495148902e+01 -5.733633426887364237e+01
1.684018143853483915e+09 3.254809374887219019e+04 -4.231800081495148902e+01 -5.733633426887364237e+01
1.684018344505963087e+09 3.248249999840802047e+04 -4.232566837042702446e+01 -5.698632820439206625e+01
1.684018545194104910e+09 3.248249999840802047e+04 -4.232566837042702446e+01 -5.698632820439206625e+01
1.684018746102532625e+09 3.259929686705565109e+04 -4.232749939717527354e+01 -5.682817082778275619e+01
1.684018946892405510e+09 3.259929686705565109e+04 -4.232749939717527354e+01 -5.682817082778275619e+01
1.684019147631530523e+09 3.258979687038571137e+04 -4.233016589012233766e+01 -5.666116333488868406e+01
1.684019348310646772e+09 3.258979687038571137e+04 -4.233016589012233766e+01 -5.666116333488868406e+01
1.684019549152508259e+09 3.259649999663152266e+04 -4.235250093796116033e+01 -5.631533816371005230e+01
1.684019749909673214e+09 3.259649999663152266e+04 -4.235250093796116033e+01 -5.631533816371005230e+01
1.684019950657227039e+09 3.256970311854260217e+04 -4.236849976991501165e+01 -5.614233400582855893e+01
1.684020151446771145e+09 3.256970311854260217e+04 -4.236849976991501165e+01 -5.614233400582855893e+01
1.684020352195326805e+09 3.258979687038571137e+04 -4.238750079003803251e+01 -5.597616579289925198e+01
1.684020552840235949e+09 3.262640624484662112e+04 -4.240783310784209448e+01 -5.582233431651776812e+01
1.684020753641496658e+09 3.262640624484662112e+04 -4.240783310784209448e+01 -5.582233431651776812e+01
1.684020954443365812e+09 3.265140624964875315e+04 -4.242833331516672501e+01 -5.567649842139252314e+01
1.684021155145926952e+09 3.262879687329493026e+04 -4.245750049419176975e+01 -5.554416661047008574e+01
1.684021355903402090e+09 3.267179687429959449e+04 -4.248366548504765916e+01 -5.540616611843141470e+01
1.684021556466883898e+09 3.267179687429959449e+04 -4.248366548504765916e+01 -5.540616611843141470e+01
1.684021757150703907e+09 3.265899999431776814e+04 -4.250983428966948452e+01 -5.526583864243372091e+01
1.684021957738770247e+09 3.267490624442577973e+04 -4.253683474672418896e+01 -5.512833410760582353e+01
1.684022158349141598e+09 3.267490624442577973e+04 -4.253683474672418896e+01 -5.512833410760582353e+01
1.684022358955972910e+09 3.267490624442577973e+04 -4.253683474672418896e+01 -5.512833410760582353e+01
1.684022559565696239e+09 3.269859374284245860e+04 -4.256666568866155131e+01 -5.499150087940309106e+01
1.684022760225963831e+09 3.274799999728519469e+04 -4.259916689540240498e+01 -5.485083008065140575e+01
1.684022960942925215e+09 3.274799999728519469e+04 -4.259916689540240498e+01 -5.485083008065140575e+01
1.684023161643827438e+09 3.281259374106596078e+04 -4.262666703961479442e+01 -5.470182800542140455e+01
1.684023362412933350e+09 3.282059374680290784e+04 -4.264866639223151878e+01 -5.455300144724384381e+01
1.684023563171828985e+09 3.293359374788906280e+04 -4.267333223779530726e+01 -5.440116888713119181e+01
1.684023764082519531e+09 3.293359374788906280e+04 -4.267333223779530726e+01 -5.440116888713119181e+01
1.684023964890157700e+09 3.280349999591789674e+04 -4.270299914588755996e+01 -5.425067139655600101e+01
1.684024165691701174e+09 3.280040624313997250e+04 -4.273049929009994941e+01 -5.409266665440347310e+01
1.684024366362875938e+09 3.280040624313997250e+04 -4.273049929009994941e+01 -5.409266665440347310e+01
1.684024567043492794e+09 3.283090624651659891e+04 -4.276016619819220210e+01 -5.392933655388870307e+01
1.684024767877264261e+09 3.276999999158317223e+04 -4.278933337721725394e+01 -5.376499945152667692e+01
1.684024968580777645e+09 3.276999999158317223e+04 -4.278933337721725394e+01 -5.376499945152667692e+01
1.684025169228106022e+09 3.274129687103938340e+04 -4.281583406329523456e+01 -5.359649662710644691e+01
1.684025369912136793e+09 3.274129687103938340e+04 -4.281583406329523456e+01 -5.359649662710644691e+01
1.684025570560368061e+09 3.285009374349613063e+04 -4.284016802740287488e+01 -5.343616490099489624e+01
1.684025771301686764e+09 3.298699999088118784e+04 -4.286149980334134568e+01 -5.327799989685370008e+01
1.684025971931160450e+09 3.298699999088118784e+04 -4.286149980334134568e+01 -5.327799989685370008e+01
1.684026172586074352e+09 3.286929686736997246e+04 -4.288516619077072534e+01 -5.310499573897220671e+01
1.684026373282531500e+09 3.268770312440760608e+04 -4.290566635618584002e+01 -5.293633273638234016e+01
1.684026573862105131e+09 3.277699999063671567e+04 -4.292449952869780816e+01 -5.276800542901456481e+01
1.684026774510757923e+09 3.277699999063671567e+04 -4.292449952869780816e+01 -5.276800542901456481e+01
1.684026975122936726e+09 3.284559374205898348e+04 -4.294533157556907810e+01 -5.260449989526637182e+01
1.684027175957774878e+09 3.289549999984342139e+04 -4.296583178289370153e+01 -5.243666846129033843e+01
1.684027376545612812e+09 3.289549999984342139e+04 -4.296583178289370153e+01 -5.243666846129033843e+01
1.684027577119228840e+09 3.276570312067998748e+04 -4.298400119249336626e+01 -5.226150520897040508e+01
1.684027777732126474e+09 3.278309374437273800e+04 -4.300266647548476584e+01 -5.208700563574373632e+01
1.684027978220386267e+09 3.276259374100775312e+04 -4.301966476557302599e+01 -5.190933233869944274e+01
1.684028178823876619e+09 3.276259374100775312e+04 -4.301966476557302599e+01 -5.190933233869944274e+01
1.684028379595439196e+09 3.271170312252633448e+04 -4.304033282050870923e+01 -5.173834235215056765e+01
